Id appearances modularity_class
bandidobombandidomoro 1540 7
quaquaqua 1240 7
vemcomciro 1015 3
querosofianodebate 19061 2
vote22 21801 9
foracorrupto 2183 7
horadejairembora 1858 7
françasenador 1328 7
helenão 1658 7
prf 1316 1
criminosos 2673 1
uber 1031 1
pilantra 1224 9
noticiasfalsas 2759 1
paraiba 1737 1
pcdob65 1567 7
simonetebet2022 3776 3
alexandredemoraesnacadeia 2800 9
lulaseulugarenaprisao 10829 9
oea 3409 1
un 1241 1
brasilcombolsonaro22 8006 9
bolsonaroday 1237 9
pará 1186 1
eleicao2022 52626 1
esquerdamaldita 1389 9
es 15450 0
psb40 1278 7
reels 1564 7
blackpinkxpubgm 1073 14
eusoubolsonaro22 2672 9
foraxandao 1158 1
partidoverde 1208 7
lulaeoptdemocraciaepaz 14703 7
stfgolpedeestado 1394 9
eleccionesbrasil 6417 1
estadodedireito 2086 1
бразилия 1382 1
espiritosanto 1117 1
todoscontrabolsonaro 4373 7
reestatizaaeletrobras 8796 7
brasilvotabolsonaro22 2011 9
fraudenasurnas 3408 9
7desetembro 8875 9
direito 1811 7
censura 13718 9
ditadura 2227 1
censuranunca 1872 9
forabolsonaroladrão 2984 7
capitãodopovo 2294 9
capitaodopovo 41491 9
brasilnasruas 6723 1
damaresnacadeia 14195 7
art142 1075 1
jovenscombolsonaro 3866 9
brazilelection 1551 1
dia7vaisergigante 3089 9
esquerdadoente 1114 9
vaisernoprimeiroturno22 2304 9
ministro 1021 1
votelula 1005 7
povonasruas 1707 1
ptnunca 1195 9
capitaodopovovaivencerdenovo 32558 9
israel 2681 1
fatimagovernadora 1369 7
lulaemrecife 2259 7
centraldaseleicoes 6675 14
b22em2022 3735 9
oamorvaivenceroódio 3500 7
segundoturno 6635 1
lulano1oturno 41637 7
elecciones 1697 1
pec32não 2162 7
stfmilitarjá 5010 9
brasildaesperança 73162 7
capitaodopovoquevaivencerdenovo 23862 9
maranhao 1083 1
p2e 1076 6
jairnãoécristão 3594 7
lulanoprimeiroturno13 28887 7
centraldaseleições 3645 14
ocapitaodopovovaivencerdenovo 3892 9
sionismo 3319 1
edegarpretto13 3026 7
corrupcion 3036 13
soumulherevotobolsonaro 2031 9
eleccionesenbrasil 1304 1
negacionismo 1923 9
bgmanharj 4724 0
catolicos 2998 1
voteconsciente 1637 1
voto22 1124 9
bolsolulaarregaram 1056 3
zambellinacadeia 3994 7
povodedeus 1975 1
cirogomez 10615 3
debateseleitorais 2155 1
lulaarregou 4064 9
lula13presidente2022 2263 7
cironaglobonews 1594 3
