ID Appearances
lulaolivioprettoruas 1028
votelula13 2566
saopaulopodemais 5032
naruto 1698
mt 15081
todoscomlula 1202
fechadacombolsonaro 1868
sorayapresidente 1939
roraima 1025
whatsapp 1111
robertojefferson 4503
ptdepontaaponta 2561
mulherescombolsonaro22 1009
bolsonarotinharazao 1630
am 15250
todosconcristina 1012
australia 1419
psol50 1637
cironojn 5718
elesnuncamais 1803
foramoraes 1473
lulaavitoriadoamor 5439
anonymous 1237
bolsonaronosbt 3363
felipeneto 1528
vempraurna 1746
crypto 1529
ocapitaovaivenceroladrao 6101
rato 1242
lulaladraosim 9673
debatenaband 39664
qatar 1049
norte 17054
ocapitãovaivenceroladrão 4352
nordestecomlula 1481
crimeeleitoral 15889
forasimonetebete 1294
foralulaladrão 1829
católico 1515
redetv 1122
adeus 1896
capitaoeoterrordoladrao 1213
assembleiadedeus 1132
damares 1113
minascombolsonaro 1959
lulaeoptoamorvencera 5098
bonner 1636
foradoria 1477
palestina 1681
lulanaoeinocente 1970
damaresmentirosa 8546
spain 2053
italy 3074
primaverabrasileira 1065
votoutil 2602
uolnaseleições 4740
prioridades 1183
abusodepoder 1479
bolsonaronoflow 7386
jdoriajr 1355
flowpodcast 2873
lulinhapazeamor 7635
lulinhanoprimeiroturno 13539
nikolasferreira 2119
brazilelections 5729
obolsonaro 2230
papiloscopistas 1504
lulanoflow 21442
papiloscopista 5598
lulaladraomentiroso 1935
derretembl 1323
zerohora 1358
gabinetedoamor 2296
11agostopelademocracia 1258
censuranuncamais 4377
wseries 1617
bolsonaronocaraatapa 1624
forabolsonarogenocidamiliciano 1138
bolsonaronorica 1620
manifestacoespacificas 1041
fujao 5290
lulafujão 1037
republicanparty 2885
capitaonorica 1997
cironorodaviva 2098
janonescassado 1364
luladay 57439
reestatizaeletrobras 43656
liberdadereligiosa 1588
abahiatemlado 4358
pcdobcomlula 1201
bolsonaronaglobo 2672
tarcísio10 6859
elvisgovernador12 1375
neymarjr 3554
haddadporsaopaulo 1368
professorabebelnossavozmaisforte 1133
lulaembh 4382
pl2258não 1353
capitaobolsonaro 4329
capitaobolsonaro22 5069
globonewsmais 1188
lulasubiugasolinacaiu 1085
assineicartadopovo 1049
jovemklan 1221
ipec 1646
13lá13cá 4317
lulaedegar13 1376
oliviosenador131 4212
debatesbt 1843
políciamilitar 2395
sãojosédoscampos 1402
abahiaé13 5119
onyx22 1415
mourãosenador 7609
lulaladraorouboumeucoracao 1046
vote22bolsonaro 8067
votebolsonaro22 26122
jairbolsonaropresidente22 4649
edegar13 2347
carlaopignatarinuncamais 1204
cristaos 1905
vote30 1236
leandrograss43 1702
simonepresidente15 4351
vexamedemoraes 2005
kalil55 2439
sofiamanzano21 1599
mariadorosario1370 1029
fratelliditalia 2890
bdmg 21921
bolsolaodarobotica 5390
bolsolaodoasfalto 7015
lularoubouobrasil 6423
deuseamor 1302
marcospontes222 9169
evangelico 2337
reelsviral 1235
sosffaa 25486
lulanoplanalto 1964
presidentebolsonaro22 1524
fezefaz 1206
guimarães1322 1240
rachadinhadojanones 4890
timão 1113
