Label Appearances
regenwaldes 10
j10 2932
haddad13_reconstruir_sao_paulo 10
lulasim 8311
bancadadaliberdade 1
partidonovo30 146
vamosjuntaspelobrasil 333
gobolsonaromundial 79
anitta 4768
bitcoin 1308
brics 843
nba 5285
elonmusk 2813
musica 778
funk 290
rap 356
adidas 14
broderagem 99
galo 290
letourdk 11
neymar 4384
paris2024 35
leandrogovernadordf 3
rosilenesenadoradf 14
ebahiaebrasil 74
lulalájerônimocá 184
vamosjuntospelabahia 281
foxnewsbreedsterrorism 2
russianowned 2
traitorstoamerica 2
marcotemporalnao 34
pl191nao 2
argentinos 51
flamengo 6573
palmeiras 396
vaicorinthians 291
globo 15686
daciolosenador 319
rodrigonevesgovernador 91
comissariogordon 2
ligadajustiça 2
theavengers 14
brésil 4666
gilmarmendes 141
pesticides 7
bris 8
mexico 704
derreterandolfeap 1
gilmarvendido 4
prerrogativaandanobrasil 2
ostftemculpa 953
band 3382
recordtv 2017
sbt 4992
vamoscolocolo 212
democrata 31
fantastico 11398
nãosaiodecasapravotar 1
tarcísionorodaviva 8
pccbraçoarmadodopt 623
revistaveja 25
marcosvalerio 194
golpemilitarnuncamais 2
neverforget1984 2
torturanuncamais 47
nemlulanembolsonaronemnada 1
nãosaiodecasaparavotar 1
amazonie 194
désastre 3
environnemental 3
déforestation 21
lulapccjuntospranosfu 1
comercarnedecachorro 1
socialismo 2285
ocde 219
time 359
afp 1043
cbsnews 3474
gazetadopovo 418
oecd 228
lefigaro 559
libe 319
oantagonista 525
tvi 570
ap 883
greenpeace 184
clubemilitar 245
thesun 558
thetimes 238
derspiegel 418
domingoespetacular 6241
abcnews 3394
cnnbrasil 21377
washingtonpost 665
bandnews 873
extra 87
clarín 861
jornaloglobo 1295
guardian 1575
fimdoptja 1
gil80anos 1
fazl 162
juntospelobrasil 3137
ptnacional 19
ptsalvador 9
ptbahia 61
ruicosta 93
worldneeds100bolsonaros 1
bricomilesactivaseneducación 1
lulana 51
luanoprimeiroturno 1
lulaladrãonacadeiajá 82
lulapresidentedobrasil2022 309
vivalula 1137
putin 1701
lulanaoeinocentebabaca 9403
indígenasisolados 2
isoladosoudizimados 1
skip 2
simone 1490
bomdiabrasil 16989
bomdiasp 13555
indígenas 69
violência 349
faltam90dias 1
cpiddoptepcc 2
foraptlixo 34
ptecoisadeimbecil 2
diadobombeiro 3
governalismo 1874
gratidao 130
ciroéoúnicoquetemchancesdederrotarlula 20
nãoidolatria 16
voteemprojeto 16
ciro12 43139
ciroaunicavia 2507
cironoflow 1700
debatepresidencial 2141
únicoquetemprojetos 111
ciroúnicavia 241
sótemociro 56
únicoquenãoandacomtemeresuaturma 74
únicoquenãofogedosdebates 107
voltadoria 7
cpidocirco 363
volta 200
general 55
vicebolsonaro 3
otempo 36
bolsonaroreeleitoem2022brasil 2
maga 2102
cirono2dejulho 70
prefirocuro 2
cpiptpcc 13
agoraéciro12 77
facts 10
votethemallout2022 17
pandemia 563
cironeles 33
rebeldiadaesperança 1157
crimes 563
expresidiário 1643
máfiadecriminosos 7
primeirocomandodacapital 15
jairlavebocaprafalardonordeste 1
bolsonaronabahia 224
crimeorganizado 148
lulacondenado 1704
marcelorebelo 22
gleisinuncamais 2
gadoburro 251
globolixoderretendo 12330
america 544
brazilian 1946
leader 70
portuguese 28
president 1471
trip 55
south 46
media 82
bolsonaronoprimeiroturno22 70550
vempraruapinguço 3
acheic 3
animais 67
edama 3
shorts 1181
folhadesp 21
mito2022 283
velhamidia 23
cfcam 6
pcbba 3
tmjbolsonaro 30
bomdiaesquerda 1
lulamafioso 53
cpidasongsnoamazonas 1
arthurweintraubsp 10
weintraubtemrazao 21
lulaeoptdestruíramobrasil 39
cristão 5774
direitaseguedireita 3456
patriota 1379
patriotaseguepatriota 233
ptorganizacaocriminosapcc 237
elepassará 2
ficam 2
bradoradio 15
carioca 84
impunidade 1919
riodejaneiro 27170
gadin 2
milicos 437
naosomosidiotas 13
ptgenocida 96
briozola 1
cirogomescontraobrasil 1
alckimin 54
kalil 119
miguelângelo 6
ptcontagem 6
timedolula 5825
vamosjuntoapelobrasil 1
doisdejulho 22
consrvadoraferoz 1
defesadavida 6
família 5742
liberdadeeconômica 15
psc20 6
psc20nacional 6
valorescristãos 6
vota1selivredos2 2
lula13predidente 1
fati 1
foryou 793
meme 218
viral 3079
ciropresidente2022 587
mamain 3
turistandoembrasilia 3
inspirationalquotes 3
motivation 61
motivational 23
