POS|TG|POL:N0|POL:N1
agradecer|V|HUM:N0:N1|0|1
agrado|N|HUM:N0|1|NaN
agravado|Adj|HUM:N0|-1|NaN
agravar|V|HUM:N0:N1|-1|0
agre|Adj|HUM:N0|-1|NaN
agredir|V|HUM:N0:N1|-1|0
agregado|Adj|HUM:N0|0|NaN
agressividade |N|HUM:N0|-1|NaN
agressivo|Adj|HUM:N0|-1|NaN
agressor|Adj|HUM:N0|-1|NaN
agreste|Adj|HUM:N0|-1|NaN
agrilhoado|Adj|HUM:N0|-1|NaN
agrosseirado|Adj|HUM:N0|-1|NaN
aguado|Adj|HUM:N0|-1|NaN
aguardado|Adj|HUM:N0|0|NaN
aguçado|Adj|HUM:N0|-1|NaN
agudo|Adj|HUM:N0|0|NaN
aguentar-se bem|IDIOM|HUM:N0|1|NaN
aguentar-se|V|HUM:N0|1|NaN
aguerrido|Adj|HUM:N0|0|NaN
airoso|Adj|HUM:N0|1|NaN
ajanotado|Adj|HUM:N0|0|NaN
ajudado|Adj|HUM:N0|1|NaN
ajuizado|Adj|HUM:N0|1|NaN
alapado|Adj|HUM:N0|-1|NaN
alarmante|Adj|HUM:N0|-1|NaN
alarmismo|N|HUM:N0|-1|NaN
alarmista|Adj|HUM:N0|-1|NaN
alarve|Adj|HUM:N0|-1|NaN
alarvice|N|HUM:N0|-1|NaN
albigense|Adj|HUM:N0|0|NaN
albino|Adj|HUM:N0|-1|NaN
alcandorado|Adj|HUM:N0|0|NaN
alcoólatra|Adj|HUM:N0|-1|NaN
alcoólico|Adj|HUM:N0|-1|NaN
alcoolismo|N|HUM:N0|-1|NaN
alcoolizado|Adj|HUM:N0|-1|NaN
alcunhado|Adj|HUM:N0|0|NaN
aldrabão|Adj|HUM:N0|-1|NaN
alegado|Adj|HUM:N0|-1|NaN
alegrar-se|V|HUM:N0|1|NaN
alegre|Adj|HUM:N0|1|NaN
alegrete|Adj|HUM:N0|0|NaN
alegria|N|HUM:N0|1|NaN
alegrote|Adj|HUM:N0|0|NaN
aleijado|Adj|HUM:N0|-1|NaN
aleivoso|Adj|HUM:N0|-1|NaN
alentado|Adj|HUM:N0|1|NaN
alentador|Adj|HUM:N0|1|NaN
alento|N|HUM:N0|1|NaN
alérgico|Adj|HUM:N0|0|NaN
alfabetizado|Adj|HUM:N0|0|NaN
algemado|Adj|HUM:N0|-1|NaN
alheado|Adj|HUM:N0|-1|NaN
alhear-se|V|HUM:N0:N1|-1|0
alheio|Adj|HUM:N0|-1|NaN
aliado|Adj|HUM:N0|0|NaN
alicerçado|Adj|HUM:N0|1|NaN
aliciado|Adj|HUM:N0|-1|NaN
aliciar|V|HUM:N0:N1|-1|0
alienação mental|N|HUM:N0|-1|NaN
alienado|Adj|HUM:N0|-1|NaN
alienígena|Adj|HUM:N0|-1|NaN
aligeirado|Adj|HUM:N0|0|NaN
alimentado|Adj|HUM:N0|0|NaN
alinhado|Adj|HUM:N0|1|NaN
aliviado|Adj|HUM:N0|0|NaN
almo|Adj|HUM:N0|1|NaN
almóada|Adj|HUM:N0|0|NaN
almorávida|Adj|HUM:N0|0|NaN
aloirado|Adj|HUM:N0|0|NaN
alourado|Adj|HUM:N0|0|NaN
alquebrado|Adj|HUM:N0|-1|NaN
altamente|Adj|HUM:N0|1|NaN
altaneiro|Adj|HUM:N0|-1|NaN
alteroso|Adj|HUM:N0|0|NaN
altivo|Adj|HUM:N0|-1|NaN
alto|Adj|HUM:N0|0|NaN
altruísmo|N|HUM:N0|1|NaN
altruísta|Adj|HUM:N0|1|NaN
altruístico|Adj|HUM:N0|1|NaN
aluado|Adj|HUM:N0|-1|NaN
alucinação|N|HUM:N0|-1|NaN
alucinado|Adj|HUM:N0|-1|NaN
alucinar|V|HUM:N0|-1|NaN
alumbrado|Adj|HUM:N0|-1|NaN
alumiado|Adj|HUM:N0|1|NaN
alvejado|Adj|HUM:N0|0|NaN
alvissareiro|Adj|HUM:N0|0|NaN
alvoraçado|Adj|HUM:N0|-1|NaN
amabilidade|N|HUM:N0|1|NaN
amachucado|Adj|HUM:N0|-1|NaN
amachucar|V|HUM:N0:N1|1|-1
amado|Adj|HUM:N0|1|NaN
amador|Adj|HUM:N0|0|NaN
